Schlüssel;Objektname;Lokalbezeichnung;Gemeinde;Postleitzahl;x-Koordinate;y-Koordinate;Parz Nr;Fassungseigentümer;OK Terrain;Schachtüberstand;Ordnungs-Nr;Lagegenauigkeit;Verwendungszweck;Verwendungsart;Fassungsart;Fassungszustand;Fassungsabdeckung;Schachttyp;Datenherkunft;Kontaktperson;Bemerkungen Objektdaten;Foto;Foto-Negativ-Nr 1;Foto-Negativ-Nr 2;Foto-Negativ-Nr 3;Fassung;Schutzzone;Anzahl Zuleitungen;Schloss;Aufgenommen durch;Erhebungsdatum;Alte Ordnungs-Nr;Feldbegehung;Objektbereinigung;WVA-Nutzung;WVA-Nutzung ergänzen;WVA-Nutzung streichen;WVA-Nutzung Lage neu
534;Quelle Brettegg 2;;Linthal;8783;;;764;;1220;;;aus Plan gelesen;;;;;;;Archiv Lienert & Haering AG;;Schacht existiert nicht, fliesst in 719/195-105;;;;;;;;;;16.04.1998;11;;31.08.1998;FALSCH;FALSCH;FALSCH;FALSCH
535;A 16, Quelle Siten (Lauener);Siten;Linthal;8783;719625;198005;;A. Lauener;740;0;71919801;aus Plan gelesen;Brauchwasser;Stallbrunnen;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube;Archiv AFU Glarus;A. Lauener   643 11 84;;;22;23;24;;keine vorh.;1;nein;R. Brunner;16.04.1998;1;01.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
536;Quelle Chäferloch 1;Chäferloch;Linthal;8783;718829;197033;131;Gde. Linthal;810;10;71819701;Geometeraufnahmen;Trinkwasser;WV Gemeinde Linthal;Sicker-/Zuleitung;gut;Pilzdeckel;Brunnenstube;Archiv Lienert & Haering AG;Hansheiri Stüssi, Werkführer Linthal;Brandschen Reservoir;;35;36;;;definitiv;1;ja;R. Brunner;16.04.1998;2;31.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
537;Quelle Chäferloch 2;Chäferloch;Linthal;8783;718797;197026;131;Gde. Linthal;800;0;71819702;Geometeraufnahmen;Trinkwasser;WV Gemeinde Linthal;Sicker-/Zuleitung;gut;Eisendeckel mit 4 Kant;Brunnenstube/Sammelschacht;Archiv Lienert & Haering AG;Hansheiri Stüssi, Werkführer Linthal;Brandschen Reservoir;;1;2;;;definitiv;1;ja;R. Brunner;16.04.1998;35;31.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
538;B7, Quelle Bodenberg;;Linthal;8783;718790;195260;;diverse;945;0;71819501;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube;Archiv AFU Glarus;Werner Ronner   643 18 77;;;22;23;;;keine vorh.;1;nein;R, Brunner;16.04.1998;12;31.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
539;D1;;Linthal;8783;718200;194140;;B. Zweifel/S. Blumer;900;;;aus Plan gelesen;Brauchwasser;Vieh-Tränke;;;;;Archiv AFU Glarus;Heinrich Zweifel   643 18 13;nur Viehtränke --> nicht aufgenommen;;;;;;;;;;16.04.1998;13;;31.08.1998;FALSCH;FALSCH;FALSCH;FALSCH
540;D2;;Linthal;8783;718040;194170;;B. Zweifel/S. Blumer;800;;;aus Plan gelesen;Brauchwasser;Vieh-Tränke;;;;;Archiv AFU Glarus;Heinrich Zweifel   643 18 13;Viehtränke --> nicht aufgenommen;;;;;;;;;;16.04.1998;14;;31.08.1998;FALSCH;FALSCH;FALSCH;FALSCH
541;D4, Quelle Obbortberg;Obbortberg;Linthal;8783;718665;194200;623;Jörg Lauffer;1075;0;71819401;aus Plan gelesen;Trinkwasser;Restaurant, Ferienhaus;ab Fels;gut;zugemauert;kein Schacht;Archiv AFU Glarus;Jörg Lauffer   643 30 56;Restaurant Obbort, Ferienhaus Keller;;21;;;;erforderlich;;nein;R. Brunner;16.04.1998;15;31.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
542;D14, Quelle Hinter Eggli;Hinter Eggli;Linthal;8783;718860;194620;617;M. Reithebuch, Obbort;1150;0;71819402;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;sanierungsbedürftig;Betondeckel;Brunnenstube;Archiv AFU Glarus;Hansruedi Reithebuch   643 31 34;Bachwasser läuft in Schacht;;19;20;;;keine vorh.;2;nein;R. Brunner;16.04.1998;16;31.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
543;D16;;Linthal;8783;718500;194650;618;G. Hässig, Effretikon;950;;;aus Plan gelesen;;;Bachwasserfassung;;;;Archiv AFU Glarus;Gottlieb Hässig-Streiff, Lindenstr. 13, 8307  Effretikon;Bachwasserfassung --> nicht aufgenommen;;;;;;;;;;16.04.1998;17;;31.08.1998;FALSCH;FALSCH;FALSCH;FALSCH
544;D19, Quelle oberer Bodenberg;Bodenberg;Linthal;8783;718750;195120;;B. Zweifel, Boden;970;0;71819502;aus Plan gelesen;Brauchwasser;Stallbrunnen;unbekannt;sanierungsbedürftig;Holz;Brunnenstube;Archiv AFU Glarus;Hansheiri Zweifel, Linthal 643 31 84;;;24;25;;;keine vorh.;;nein;R. Brunner;16.04.1998;18;31.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
545;D21;;Linthal;8783;718480;193310;;Soldenhoff, Bödeli;900;;;aus Plan gelesen;;;;;;;Archiv AFU Glarus;Hansheiri Zweifel, Linthal  643 31 84;identisch mit Quelle 718/195-101;;;;;;;;;;16.04.1998;19;;31.08.1998;FALSCH;FALSCH;FALSCH;FALSCH
546;D22;;Linthal;8783;718430;195020;;B. Stüssi/D. Thut, Reitis.;900;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv AFU Glarus;Albrecht Zweifel, Linthal  643 31 55;nicht aufgenommem;;;;;;;;;;16.04.1998;20;;31.08.1998;FALSCH;FALSCH;FALSCH;FALSCH
547;D26;;Linthal;8783;718010;195100;;A. Zweifel;810;;;aus Plan gelesen;;;;;;;Archiv AFU Glarus;;Pumpstation  -->nicht aufgenommen;;;;;;;;;;16.04.1998;21;;31.08.1998;FALSCH;FALSCH;FALSCH;FALSCH
548;H1;;Linthal;8783;718040;194600;639;Th. Schiesser, Reitimatt;790;50;;aus Plan gelesen;;;;gut;;Brunnenstube;Archiv AFU Glarus;Jakob Schiesser, Linthal  643 34 58;Grundwasserfassung für 3 Liegenschaften --> nicht aufgenommen;;;;;;keine vorh.;1;nein;;16.04.1998;22;;31.08.1998;FALSCH;FALSCH;FALSCH;FALSCH
549;H2, Quelle Ofenkopf;Ofenkopf bei Haufenrunse;Linthal;8783;717490;194910;764;J. Schiesser-Zweifel, Reitimatt;920;0;71719401;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;ab Fels;sanierungsbedürftig;Holz;Brunnenstube;Archiv AFU Glarus;Jakob Schiesser, Linthal  643 34 58;seit 1907, ab 2001 verschüttet, Res. ausser Betrieb gem Angaben J. Schiesser vom 10.4.06;;28;29;;;keine vorh.;1;nein;R. Brunner;16.04.1998;23;31.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
550;H4;;Linthal;8783;717600;195410;;B. Zweifel, Laueli;870;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv AFU Glarus;Thomas Zweifel, Linthal  643 33 04;nicht aufgenommen;;;;;;;;;;16.04.1998;24;;31.08.1998;FALSCH;FALSCH;FALSCH;FALSCH
551;H6;;Linthal;8783;717640;195480;;B. Zweifel, Laui;860;;;aus Plan gelesen;im Moment ungenutzt;Vieh-Tränke;;;;;Archiv AFU Glarus;Rosmarie Gisler-Zweifel, Linthal  643 14 76;nicht aufgenommen;;;;;;;;;;16.04.1998;25;;31.08.1998;FALSCH;FALSCH;FALSCH;FALSCH
552;H8;Laui;Linthal;8783;717580;195760;;Rosmarie Gisler-Zweifel;830;;;aus Plan gelesen;Brauchwasser;Stallbrunnen;;;;;Archiv AFU Glarus;Rosmarie Gisler-Zweifel, Linthal  643 14 76;nicht aufgenommen;;;;;;;;;;16.04.1998;26;;31.08.1998;FALSCH;FALSCH;FALSCH;FALSCH
553;H9;Fätschli;Linthal;8783;717430;196270;;Pfadiheim;910;;;aus Plan gelesen;im Moment ungenutzt;WV Einzelliegenschaft;Bachwasserfassung;;Eisendeckel;Brunnenstube/Reservoir;Archiv AFU Glarus;Rudolf Stutz, Linthal  643 32 30;Pfadiheim an Netz WK Auen angeschlossen --> nicht aufgenommen;;;;;;keine vorh.;1;ja;;16.04.1998;27;;01.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
554;J1 Oeler;Oeler;Linthal;8783;717474;196465;457;Tagwen Ennetlinth;860;0;71719601;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Archiv AFU Glarus;Hansheiri Stüssi, Werkführer Linthal;;;30;31;;;keine vorh.;1;nein;R. Brunner;16.04.1998;28;01.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
555;J3, Quelle Oberrämis;Oberrämis;Linthal;8783;717488;196596;462;B. Zweifel, Oberrämis;865;;71719602;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;gut;Haus;Brunnenstube;Archiv AFU Glarus;Hansheiri Zweifel-Oehler, Wässerwiesenstr. 70, 8408  Winterthur;Wasseraustritte im Stall;;32;33;;;keine vorh.;;nein;R. Brunner;16.04.1998;29;01.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
556;Quelle Fruttmatt;Fruttmatt;Linthal;8783;717464;196829;516;Gde. Linthal;900;30;71719603;im Feld eingemessen;Trinkwasser;WV Gemeinde;Stollen;gut;Eisendeckel;Brunnenstube;Archiv Lienert & Haering AG;Hansheiri Stüssi, Werkführer Linthal;;;23;24;25 +;;definitiv;;ja;R. Brunner;16.04.1998;30;31.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
557;J6, Quelle Schwändeli;Schwändeli;Linthal;8783;717190;196430;466;Hch. Zweifel, Bergli;940;0;71719604;aus Plan gelesen;Trinkwasser;Restaurant Bergli;Sicker-/Zuleitung;gut;Eisendeckel mit 4 Kant;Brunnenstube;Archiv AFU Glarus;Hch. Zweifel, Linthal  643 33 16;;;27;28;;;erforderlich;1;nein;R. Brunner;16.04.1998;31;31.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
558;J7;;Linthal;8783;717130;196480;466;Hch. Zweifel, Bergli;960;;;aus Plan gelesen;;Brunnen;;;;;Archiv AFU Glarus;Hch. Zweifel, Linthal  643 33 16;nur für Brunnen --> nicht aufgenommen;;;;;;;;;;16.04.1998;32;;31.08.1998;FALSCH;FALSCH;FALSCH;FALSCH
559;J9, Quelle Eggli;Eggli;Linthal;8783;717122;196823;478;Felix Zweifel;1050;0;71719605;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube;Archiv AFU Glarus;Felix Zweifel-Bissig, Linthal;;;5;6;;;keine vorh.;1;nein;R. Brunner;16.04.1998;33;01.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
560;J14, Quelle Oberberg;Oberberg;Linthal;8783;716970;196720;474;Hch. Zweifel, Oberberg;1055;;71619601;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;gut;Türe;Brunnenstube;Archiv AFU Glarus;Hch. Zweifel, Linthal  643 15 71;;;3;4;;;keine vorh.;2;nein;R. Brunner;16.04.1998;34;01.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
572;Obmoos-Quelle;Obmoos;Elm;8767;731470;197390;;Obmoosbrunnen-Korportion;1010;0;73119704;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;Aufstossend;gut;Eisendeckel mit 4 Kant;Brunnenstube;Archiv Lienert & Haering AG;Samuel Hefti, EW Elm;;;18;19;;;keine vorh.;0;nein;Brunner;17.04.1998;36;18.08.1999;;WAHR;FALSCH;FALSCH;FALSCH
573;Bord-Quelle B4;Blumerberg;Nidfurn;8772;;;174;Gde. Nidfurn;860;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;1988 stillgelegt, nicht aufgenommen;;;;;;;;;;17.04.1998;18;;20.07.1998;FALSCH;FALSCH;FALSCH;FALSCH
574;Blumerberg-Quelle 1;;Nidfurn;8772;722215;205245;;Gde. Nidfurn;840;;;aus Plan gelesen;im Moment ungenutzt;;Sicker-/Zuleitung;;;;Archiv Lienert & Haering AG;J. Hefti, Werkführer Nidfurn;1988 stillgelegt, nicht aufgenommen;;;;;;;1;;;17.04.1998;19;;20.07.1998;FALSCH;FALSCH;FALSCH;FALSCH
575;Quelle Luchsinger/Wichser/Hefti T5;Tränkiloch;Nidfurn;8772;722118;205420;178;Hefti/Luchsinger/Wichser;904;;72220511;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;unbekannt;;;;Archiv Lienert & Haering AG;"Fritz Luchsinger, Thon, Schwanden; Hh Wichser, im Güetli, Nidfurn; Gebr. Hefti, im Grub, Nidfurn";Schacht überdeckt;;;;;;ev. erforderlich?;1;;R. Brunner;17.04.1998;20;20.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
576;Maienbrunnen unten;Ennetecken;Schwanden;8763;723220;207275;;Ennetecken-Wygellenkorp.;900;0;72320701;im Feld eingemessen;Trinkwasser;WV Gemeinde Schwändi;Sicker-/Zuleitung;gut;Türe;Brunnenstube/Sammelschacht;Archiv Lienert & Haering AG;W. Traxel, Werkführer Schwändi;;;35;36;;;definitiv;1;ja;R. Brunner;17.04.1998;21;28.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
577;Maienbrunnen oben;Ennetecken;Schwanden;8762;723200;207325;;Ennetecken-Wygellenkorp.;900;0;72320702;im Feld eingemessen;Trinkwasser;WV Gemeinde Schwändi;Sicker-/Zuleitung;gut;Gussdeckel;Brunnenstube;Archiv Lienert & Haering AG;W. Traxel, Werkführer Schwändi;;;1;2;;;definitiv;1;nein;R. Brunner;16.04.1998;22;28.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
578;Quelle Ottigen 83;;Haslen;8773;723884;205096;;Gde. Schwanden;620;0;72320504;Geometeraufnahmen;Trinkwasser;WV Gemeinde Schwanden;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube;Archiv Lienert & Haering AG;J. Tschudi, WV Gde. Schwanden;;;H16;H17;;;definitiv;3;ja;M. Simmler;17.04.1998;42;04.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
579;Quelle Alpweg 84;;Haslen;8773;;;;Gde. Schwanden;620;;;Geometeraufnahmen;im Moment ungenutzt;WV Gemeinde Schwanden;;;;;Archiv Lienert & Haering AG;J. Tschudi, WV Gde. Schwanden;keine Fassung mehr, nicht aufgenommen;;;;;;definitiv;;ja;;17.04.1998;43;;04.08.1998;FALSCH;FALSCH;FALSCH;FALSCH
580;Burstberg-Quelle;;Braunwald;8784;;;243;Streiff, Rietberg;1260;;;aus Plan gelesen;Brauchwasser;Vieh-Tränke;;;;;Archiv Lienert & Haering AG;;Vieh-Tränke --> nicht aufgenommen;;;;;;keine vorh.;;;;17.04.1998;20;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
581;Tutenbergquelle;;Braunwald;8784;;;;;1270;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;gemäss Gde. ungenutzt --> nicht aufgenommen;;;;;;;;;;17.04.1998;21;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
582;Leglerberg-Quelle;Leglerberg;Braunwald;8784;717830;199870;;Schiesser, Leglerberg;1320;0;71719905;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;gut;Eisendeckel mit 4 Kant;Brunnenstube;Archiv Lienert & Haering AG;Balz Dürst, Werkführer Braunwald;;;25;26;;;keine vorh.;1;nein;R. Brunner;17.04.1998;22;02.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
583;;Müllerberg;Braunwald;8784;;;;;1300;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;; Gde. unbekannt --> nicht aufgenommen;;;;;;;;;;17.04.1998;23;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
584;;Müllerberg;Braunwald;8784;;;;;1300;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;Gde. unbekannt --> nicht aufgenommen;;;;;;;;;;17.04.1998;24;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
585;;Müllerberg;Braunwald;8784;;;;;1300;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;Gde. unbekannt --> nicht aufgenommen;;;;;;;;;;17.04.1998;25;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
586;;Müllerberg;Braunwald;8784;;;;;1340;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;Gde. unbekannt --> nicht aufgenommen;;;;;;;;;;17.04.1998;26;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
587;;;Braunwald;8784;;;;;1400;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;Gde. unbekannt --> nicht aufgenommen;;;;;;;;;;17.04.1998;27;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
588;;;Braunwald;8784;;;;;1400;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;Gde. unbekannt --> nicht aufgenommen;;;;;;;;;;17.04.1998;28;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
589;;;Braunwald;8784;;;;;;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;Gde. unbekannt --> nicht aufgenommen;;;;;;;;;;17.04.1998;29;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
590;;Gisenegg;Braunwald;8784;;;;;1460;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;Gde. unbekannt --> nicht aufgenommen;;;;;;;;;;17.04.1998;30;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
591;;Mittleren Berg;Braunwald;8784;;;;;1400;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;Gde. unbekannt --> nicht aufgenommen;;;;;;;;;;17.04.1998;31;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
592;;Mittleren Berg;Braunwald;8784;;;;;1360;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;Gde. unbekannt --> nicht aufgenommen;;;;;;;;;;17.04.1998;32;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
593;;Mittleren Berg;Braunwald;8784;;;;;1370;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;Gde. unbekannt --> nicht aufgenommen;;;;;;;;;;17.04.1998;33;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
594;;Mittleren Berg;Braunwald;8784;;;;;1380;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;Gde. unbekannt --> nicht aufgenommen;;;;;;;;;;17.04.1998;34;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
595;;;Braunwald;8784;;;;;1300;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;Gde. unbekannt --> nicht aufgenommen;;;;;;;;;;17.04.1998;35;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
596;;;Braunwald;8784;;;;;1300;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;Gde. unbekannt --> nicht aufgenommen;;;;;;;;;;17.04.1998;36;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
597;;Mittleren Berg;Braunwald;8784;;;;;1350;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;Gde. unbekannt --> nicht aufgenommen;;;;;;;;;;17.04.1998;37;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
598;;;Braunwald;8784;;;;;1340;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;Gde. unbekannt --> nicht aufgenommen;;;;;;;;;;17.04.1998;38;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
599;;;Braunwald;8784;;;;;1380;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;Gde. unbekannt --> nicht aufgenommen;;;;;;;;;;17.04.1998;39;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
600;;;Braunwald;8784;;;;;1380;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;Gde. unbekannt --> nicht aufgenommen;;;;;;;;;;17.04.1998;40;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
601;;;Braunwald;8784;;;;;1400;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;Gde. unbekannt --> nicht aufgenommen;;;;;;;;;;17.04.1998;41;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
602;;;Braunwald;8784;;;;;1400;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;Gde. unbekannt --> nicht aufgenommen;;;;;;;;;;17.04.1998;42;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
603;;;Braunwald;8784;;;;;1400;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;Gde. unbekannt --> nicht aufgenommen;;;;;;;;;;17.04.1998;43;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
604;;;Braunwald;8784;;;;;1400;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;Gde. unbekannt --> nicht aufgenommen;;;;;;;;;;17.04.1998;44;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
605;;Rubschen;Braunwald;8784;;;;;1470;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv Lienert & Haering AG;;Gde. unbekannt --> nicht aufgenommen;;;;;;;;;;17.04.1998;45;;30.09.1998;FALSCH;FALSCH;FALSCH;FALSCH
610;Quelle Gheistberg;Gheistberg;Sool;8762;728600;207120;;J. Marti-Wyss/Gde. Sool;1320;;72820703;aus Plan gelesen;Trinkwasser;WV Einzelligenschaft;;;;;Feld;J. Marti-Wyss;Versorgung von Hütte Marti-Wyss und Brunnen von Gde. Sool;;36;;;;keine vorh.;;;R. Brunner;04.05.1998;22;25.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
611;Quelle Au;Au;Sool;8762;725470;206450;;Kämpf;540;;72520601;aus Plan gelesen;Brauchwasser;Brunnen;;;;;Feld;Jakob Marti, Gde Sool;;;18;;;;keine vorh.;;;R. Brunner;04.05.1998;24;25.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
613;Quelle Fuchsrain;Fuchsrain;Sool;8762;725340;206450;;;560;0;72520602;im Feld eingemessen;Brauchwasser;Brunnen;Wasseraustritt;sanierngsbedürftig;Schieferplatte;Brunnen;Begehung;Jakob Marti, Gde Sool;;;19;;;;keine vorh.;;nein;R. Brunner;04.05.1998;25;25.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
617;Reservoirquelle;Höhe;Haslen;8773;;;259;Gemeinde Haslen;641;0;;aus Plan gelesen;im Moment ungenutzt;;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube;Gemeinde;P. Muhl, Werkführer Gde.Haslen;vom Netz abgehängt, nicht aufgenommen;;;;;;keine vorh.;1;ja;;15.05.1998;;;21.07.1998;FALSCH;FALSCH;FALSCH;FALSCH
618;Quelle Schatzmann;Raussen;Haslen;8773;723215;204150;259;H. Schatzmann;655;0;72320406;aus Plan gelesen;Brauchwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Gemeinde;"P. Muhl, Werkführer Gde.Haslen;H. Schatzmann Haslen";Stall und Garten, Neufassung 1991;;28;29;;;keine vorh.;1;nein;R. Brunner;15.05.1998;51;21.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
619;Quelle Obmoos 2;Obmoos;Elm;8767;731470;197400;;Obmoosbrunnen-Korporation;980;;73119707;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;;;;;Archiv Lienert & Haering AG;Samuel Hefti, EW Elm;;;;;;;keine vorh.;2;;;16.04.1998;;18.08.1999;;WAHR;WAHR;FALSCH;FALSCH
620;Quelle Strit;;Elm;8767;;;;Anton Bäbler;;;;;Brauchwasser;Brunnen;;;;Brunnenstube;;;Laufbrünneli;;;;;;;;;;15.05.1998;37;;15.06.1999;FALSCH;FALSCH;FALSCH;FALSCH
621;Quelle Gerstboden;oberer Gerstboden;Elm;8767;730940;198730;;Brunnengemeinschaft;1440;0;73019802;aus Plan gelesen;Trinkwasser;2 Ferienhäuser + Einzelliegenschaft;Sicker-/Zuleitung;gut-genügend;Betondeckel;Brunnenstube;Feldaufnahmen;Fridolin Disch, Gerstboden Elm;;;24;25;;;keine vorh.;1;nein;Brunner;15.05.1998;38;18.08.1999;;WAHR;FALSCH;FALSCH;FALSCH
622;Quelle Wald;;Elm;8767;;;;Brunnengemeinschaft;;;;;Brauchwasser;Brunnen;;;;Brunnenstube;;Samuel Hefti, EW Elm;;;;;;;;;;;15.05.1998;39;;15.06.1999;FALSCH;FALSCH;FALSCH;FALSCH
623;Quelle Schliefer;Schliefer;Elm;8767;730700;197700;;Gebr. Hauser;1340;0;73019703;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;gut;Eisen 4 Kant;Brunnenstube;Feldaufnahmen;Samuel Hefti, EW Elm;;;10;11;;;keine vorh.;2;nein;Brunner;15.05.1998;42;15.06.1999;;WAHR;FALSCH;FALSCH;FALSCH
624;Quelle Empächli;;Elm;8767;730870;198140;;Brunnengemeinschaft;1445;0;73019801;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;ab Fels;sanierungsbedürftig;Holz;Brunnenstube;Feldaufnahmen;Samuel Hefti, EW Elm;;;15;16;;;keine vorh.;0;nein;Brunner;15.05.1998;40;15.06.1999;;WAHR;FALSCH;FALSCH;FALSCH
625;Quelle Empächli;;Elm;8767;;;;Hans Rhyner, Spicher;;;;;im Moment ungenutzt;WV Einzelliegenschaft;;;;Brunnenstube;;;;;;;;;;;;;15.05.1998;41;;15.06.1999;FALSCH;FALSCH;FALSCH;FALSCH
626;Quelle Hinter Empächli Bergli;;Elm;8767;730270;197700;;Dr. Lalive, Bergli;1455;0;73019704;aus Plan gelesen;Trinkwasser;Ferienhaus;Sicker-/Zuleitung;gut;Eisen 4kant. Schrauben;Brunnenstube;Feldaufnahmen;;;;17;18;;;keine vorh.;1;nein;Brunner;15.05.1998;43;15.06.1999;;WAHR;FALSCH;FALSCH;FALSCH
627;Quelle Batschwändi-Bort;;Elm;8767;;;;Pankraz Rhyner, Oberhus;;;;;Brauchwasser;Stall;;;;Brunnenstube;;;;;;;;;;;;;15.05.1998;44;;15.06.1999;FALSCH;FALSCH;FALSCH;FALSCH
628;Quelle Güetli;;Elm;8767;731600;198110;;Kasp. Rhyner;1180;0;73119802;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;gut;Eisen 4kant. Schrauben;Brunnenstube;Feldaufnahmen;;;;21;22;;;keine vorh.;2;nein;Brunner;15.05.1998;45;15.06.1999;;WAHR;FALSCH;FALSCH;FALSCH
