6025: Datenmodell BAFU;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lage (Geometrie);X Koordinaten;Y Koordinaten;Höhe;Identifikator;Name;Grundwasserleiter_Typ;Quelltyp;Fassungsart;Nutzungszustand;Trinkwasser;Zweck;Notwasserversrogung;Öffentliches Interesse;Schüttung minimal;Schüttung mittel;Schüttung maximal
;2713905;1207270;1680;;Hinter Schlattalp Ober Stafel Schacht 1;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink- und Brauchwasser;nein;ja;;;
;2713915;1207240;1682;;Hinter Schlattalp Ober Stafel Schacht 2;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink- und Brauchwasser;nein;ja;;;
;2714775;1207330;2130;;;Karst;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;;
;2713800;1207395;1650;;;Lockergestein;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;;
;2714325;1204770;1710;GL_846;Dräcklochstafel;gemischt;;gefasst.unbestimmt;genutzt;nein;Brauch- und Tränkewasser;nein;nein;;;
;2712925;1207525;1060;GL_840;Quelle Chlüstalden;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2713630;1204552;1840;;;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2714770;1211280;1715;GL_847;Ober Längenegg 2;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2716660;1211135;1690;GL_654;Quelle Ober Rueggis;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink- und Tränkewasser;nein;ja;;;
;2720375;1209380;1180;GL_233;Gleiter Quellen;Kluft;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2720405;1209287;1180;;Gleiter Quellen;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2720053;1211022;890;GL_232;Löntschbort-Quelle;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2716200;1211320;1630;GL_848;Unter Längenegg;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2714980;1211435;1760;GL_238;Ober Längenegg 1;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2719437;1208794;1550;GL_838;Quelle Vorder Schlattalp;gemischt;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;;
;2719731;1209616;1200;GL_837;Quelle Tschingel;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2714980;1206110;1405;GL_858;Alp Wärben;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2714900;1205200;1610;GL_859;Quelle Alp Zeinen 1;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2714850;1205200;1600;GL_860;Quelle Alp Zeinen 2;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2718540;1213174;2160;GL_655;Quelle Schijen;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink- und Brauchwasser;nein;ja;;;
